

UB BASIC GSM KPIs(Cluster-CELL)
Save Time :2023-02-10 08:22:50
User Name :HW_RF_NASTAR

Date,GCell Group,Integrity,TCH Availability%_South,Total SDCCH Traffic (Erl)_South,Total TCH Traffic (Erl)_South,VAMOS Traffic,TCH AMR-FR Traffic (Erl)_South,TCH AMR-HR Traffic (Erl)_South,SDCCH Blocking%_South,TCH Blocking% (Call Setup)_South,TCH Blocking% (Mobility - InterCell HO)_South,DCR%_South,CSSR_Non Blocking,HSR%_South,In-HSR%_South,Out-HSR%_South,DL RxQual Index%_South,UL RxQual Index%_South,CEFR,SDCCH DR%_South,Total TCH Drops_South,Call Drop due to ABIS terrestrial link_South,Interference Band 345,K3001:Failed SDCCH Seizures due to Busy SDCCH,K3011A:Failed TCH Seizures due to Busy TCH (Traffic Channel),Initially Configured SDCCH_South,1800 TRX Count,900 TRX Count,"A3129B:Failed Assignments (First Assignment, Terrestrial Resource Request Failed)"
2023-02-06,KOHAT_CLUSTER_01_Rural,100%,98.3352,8245.6433,64651.1596,4046.4185,15696.5963,48315.758,0.0912,0.0669,0.6615,0.3507,99.7305,97.6339,97.5927,97.6749,98.3461,99.5155,0.2375,0.0321,13312,83,3.6795,5945,1256,6418,575,597,880
2023-02-06,KOHAT_CLUSTER_01_Urban,100%,99.9099,2028.7008,14848.1203,1148.6986,2768.7526,12043.2412,0.0009,0.4375,0.0437,0.3468,99.8246,98.0768,98.2724,97.8756,98.6758,99.586,0.1711,0.0043,3236,4,7.7681,14,2183,1427,125,123,2
2023-02-06,KOHAT_CLUSTER_02_Rural,100%,95.0148,13928.8154,113503.9643,12561.9155,15147.2094,97104.3238,0.0954,1.3593,1.8862,0.6121,99.5948,97.5734,97.5718,97.5749,97.9597,99.1891,0.3777,0.0276,40132,652,4.7835,9886,45510,10873,796,983,161
2023-02-06,2G_USF_NPM_North,100%,97.3861,12625.1438,87234.8767,13413.6262,8103.6458,77345.5104,0.2167,5.3942,3.741,1.0963,99.3225,97.0182,96.9948,97.0414,97.6243,98.7238,0.569,0.1091,46168,271,2.0504,18547,135913,7997,449,750,1035
2023-02-07,BANNU_CLUSTER_01_Rural,100%,97.192,35451.4598,236283.4083,24746.6695,27899.1799,202038.7414,0.97,4.51,3.7028,0.9161,99.0596,96.4981,96.4995,96.4967,96.8008,98.7515,0.916,0.0246,119287,1437,9.7847,226809,351479,24557.6667,1676,1842,365
2023-02-07,KOHAT_CLUSTER_01_Rural,100%,99.1825,8299.2298,64544.1026,3893.2439,15808.2766,48091.3111,0.0981,0.0818,0.5813,0.3604,99.7319,97.5831,97.5428,97.6233,98.3502,99.5078,0.2347,0.0335,13626,149,3.7995,6390,1519,6418,575,597,484
2023-02-07,KOHAT_CLUSTER_01_Urban,100%,99.0436,2068.512,14442.6364,1122.3113,2724.6918,11681.1672,0.1658,0.6524,0.0592,0.3981,99.8237,97.9966,98.1479,97.8408,98.6354,99.5372,0.1716,0.0046,3581,16,8.0189,2688,3166,1427,125,123,3
2023-02-07,KOHAT_CLUSTER_02_Rural,100%,96.5804,14111.7354,114456.2765,12754.3087,15320.9074,97896.3667,0.0962,1.4064,1.8448,0.6688,99.6031,97.4919,97.4896,97.4943,98.0016,99.1822,0.3673,0.0297,44049,836,5.0514,10073,46794,10873,796,983,371
2023-02-07,2G_USF_NPM_North,100%,98.4949,12800.485,87106.6228,13395.4277,8279.2554,77017.425,0.0968,5.9149,4.0442,1.0937,99.3331,96.9331,96.8984,96.9677,97.6428,98.7583,0.558,0.1095,45917,270,2.3193,8337,148639,7997,449,750,2163
2023-02-08,BANNU_CLUSTER_01_Rural,99%,98.0309,35206.7734,237125.3535,24764.9632,28502.1959,201953.8973,0.6744,4.549,3.6439,0.8973,99.1413,96.4302,96.4311,96.4294,96.7949,98.7753,0.8359,0.023,116512,1284,9.8455,156656,350871,24625.6667,1681,1847,954
2023-02-08,KOHAT_CLUSTER_01_Rural,100%,99.7207,8170.1853,64188.9852,4016.2732,15652.0743,47898.8712,0.0104,0.0844,0.6511,0.3487,99.7245,97.6109,97.5883,97.6335,98.4057,99.5163,0.2404,0.0352,13045,54,3.8529,668,1531,6418,575,597,981
2023-02-08,KOHAT_CLUSTER_01_Urban,100%,98.8715,1984.738,14341.2835,1141.8453,2677.1351,11629.2056,0.0034,0.2569,0.0506,0.3791,99.8192,98.0067,98.1338,97.8758,98.6641,99.5697,0.1762,0.0046,3363,17,7.9314,54,1199,1427,125,123,3
2023-02-08,KOHAT_CLUSTER_02_Rural,100%,94.9033,14206.8675,114042.3833,12754.0939,15116.8096,97676.2078,0.0851,1.7149,1.938,0.6606,99.608,97.5156,97.5157,97.5156,97.9866,99.1994,0.3625,0.0296,42717,753,4.8309,8923,56426,10873,796,983,488
2023-02-08,2G_USF_NPM_North,100%,96.5916,12982.1207,85169.1477,13307.2536,7919.1106,75481.4588,1.1008,5.5422,3.883,1.117,99.1547,96.8816,96.851,96.9121,97.659,98.7738,0.7245,0.1217,45573,285,2.1415,95899,135914,7997,449,750,12351
2023-02-09,BANNU_CLUSTER_01_Rural,100%,97.6754,34814.9507,236638.9983,24381.6141,28386.7636,202120.7402,0.4888,4.6166,3.2849,0.8655,99.1841,96.5136,96.518,96.5091,96.7461,98.7726,0.7937,0.0223,109686,1397,8.5233,113124,349568,24626.6667,1682,1847,2121
2023-02-09,KOHAT_CLUSTER_01_Rural,100%,98.0452,8548.3504,65191.4734,3938.1189,15698.5638,48871.4618,0.2079,0.1607,0.5554,0.3982,99.7049,97.4509,97.4227,97.479,98.281,99.4875,0.2546,0.0406,14905,406,3.5296,13783,2980,6418,575,597,780
2023-02-09,KOHAT_CLUSTER_01_Urban,100%,99.0575,2048.8994,14402.064,1057.0057,2652.2744,11711.755,0.1845,0.4839,0.0419,0.4094,99.8235,97.966,98.1186,97.8091,98.645,99.5326,0.171,0.0055,3613,25,7.5683,2957,2273,1427,125,123,6
2023-02-09,KOHAT_CLUSTER_02_Rural,100%,95.9463,14035.5153,113479.4489,12194.9829,14914.602,97406.8082,0.1469,1.233,1.4865,0.6526,99.6216,97.6037,97.6005,97.607,97.984,99.2291,0.3506,0.0278,41296,1312,3.9758,15436,39371,10873,796,983,503
2023-02-09,2G_USF_NPM_North,100%,96.2233,12623.3516,88316.9181,13273.7406,8189.3744,78397.5432,0.3121,4.1283,3.6748,1.1873,99.3167,96.9893,96.913,97.0655,97.5453,98.7421,0.5771,0.1068,48419,495,1.7276,27005,99635,7997,449,750,515
Total 75 Records
